conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1929404875017949686,Mon Jun 02 05:09:03 +0000 2025,19921,Dia: 1) Ketemu Bill Gates tiba-tiba bahas vaksin TBC belum ada bahasan sebelumnya padahal. 2) Nelpon Trump abis bilang itu mau nampung warga Palestina sampai diberitain media Israel. 3) Bilang Kalau Palestina merdeka mau ngakuin Israel 4) Kerja sama maritim sama China ,1929404875017949686,,,in,,180,182,6760,https://x.com/undefined/status/1929404875017949686,170542374,
1929404168776847547,Mon Jun 02 05:06:15 +0000 2025,2816,Pernyataan sikap Habaib-Ulama dan Tokoh Sumenep menolak vaksin TBC dengan beberapa alasan: 1. Yang membawa Bill Gates yang ditolak di negaranya sendiri (AS). 2. Negara ASEAN semua menolak kecuali Indonesia. 3. Komposisi vaksin TBC tidak jelas dan tidak pasti. 4. Tidak ada https://t.co/9JwVSejlLn,1929404168776847547,https://pbs.twimg.com/ext_tw_video_thumb/1929404008705470464/pu/img/ZmlQZ94LoX42O6OB.jpg,,in,,23,67,1196,https://x.com/undefined/status/1929404168776847547,1347691348200099847,
1929383596713726151,Mon Jun 02 03:44:30 +0000 2025,1,Benarkah Filipina keluarkan surat penangkapan pada Bill Gates terkait vaksin TBC? Buka tautan untuk lihat faktanya: https://t.co/t790dbzlpq #Jalahoaks #JakartaKotaGlobal #VaksinTBC,1929383596713726151,,,in,,0,0,0,https://x.com/undefined/status/1929383596713726151,1240494242503331840,
1928963479131848781,Mon Jun 02 03:39:18 +0000 2025,0,@msaid_didu Kasus vaksin bagaimana kabarnya ya pak? Ada kabar kalau ada yang tidak mau di vaksin milik si bill gates akan ada denda,1929382287746924618,,msaid_didu,in,,0,0,0,https://x.com/undefined/status/1929382287746924618,1862505079129219072,
1929368094285148610,Mon Jun 02 02:42:54 +0000 2025,0,Dharma Pongrekun Demo Tolak Vaksin TBC Bill Gates Masyarakat Punya Hak Menolak. Kalo kata Aki mah gak perlu ribet kan kita punya wakil di DPR RI DPRD Provinsi dan DPRD Kabupaten jd cukup mereka yg mewakili rakyat untuk disuntik vaksin. https://t.co/5AU5AUnt2Z,1929368094285148610,https://pbs.twimg.com/ext_tw_video_thumb/1929368021573013504/pu/img/kZO8Y6HIo4EaVPZD.jpg,,in,,0,0,1,https://x.com/undefined/status/1929368094285148610,1398793815826173956,
1928817390604648878,Mon Jun 02 01:55:04 +0000 2025,0,@AirinDatangLagi Halah vaksin bill gates ini mau di rebranding aja,1929356058570690619,,AirinDatangLagi,in,,0,0,0,https://x.com/undefined/status/1929356058570690619,1877721256222773248,
1929138966239776812,Mon Jun 02 01:39:32 +0000 2025,0,@gh_inani kan prabowo abis ketemu bill gates bilang mau jual vaksin,1929352150380933143,,gh_inani,in,,0,0,0,https://x.com/undefined/status/1929352150380933143,725770723,
1929290353770959359,Sun Jun 01 21:33:59 +0000 2025,0,Jadi gini COVID naik lu nuduh konspirasi biar Bill Gates bisa jualan vaksin TBC? Beda penyakit beda vaksin beda otak juga kali ya. Marah marah tapi minimal ngerti dulu bedanya virus sama bakteri.,1929290353770959359,,,in,,0,1,0,https://x.com/undefined/status/1929290353770959359,915960594947129346,
1929042246902452361,Sun Jun 01 16:19:02 +0000 2025,0,@IndoPopBase pembelian tiket hitc disertakan sertif vaksin tbc bill gates,1929211092301205610,,IndoPopBase,in,,0,0,0,https://x.com/undefined/status/1929211092301205610,1156756727414394880,
1929185112467681558,Sun Jun 01 15:00:45 +0000 2025,1,@jijirnyinyir Bill Gates bukan dokter bukan ahli medis tetiba bikin vaksin tbc. Belajar dr mane tu orang https://t.co/vICOv39Jcd,1929191393358119197,https://pbs.twimg.com/tweet_video_thumb/GsXdV4pasAAUa7T.jpg,jijirnyinyir,in,,0,1,0,https://x.com/undefined/status/1929191393358119197,1533639774870704130,
1928985969471951250,Sun Jun 01 13:13:14 +0000 2025,0,@AndikaNgojek @AliNgabalinNew vaksin Bill Gates? mungkin abis updates anti virus,1929164334271528976,,AndikaNgojek,in,,0,1,0,https://x.com/undefined/status/1929164334271528976,55300590,
1929118238379545021,Sun Jun 01 12:59:11 +0000 2025,3,@yaniarsim @KemenkesRI Virus Yang menular Menkes itu sendiri lbh ganas dari semua virus yg ada. Kalau mau uji coba vaksin TBC Bill gates itu silahkan dicoba ke pegawai kemenkes itu sendiri lbh dulu. No Debat..!!,1929160798955573523,,yaniarsim,in,,0,0,2,https://x.com/undefined/status/1929160798955573523,2921869340,
1928789301879517516,Sun Jun 01 11:35:44 +0000 2025,0,@V3g3L Bohong itu itu trik pemerintah agar masyarakat disuntikkan vaksin TBC gak jelas dari Bill Gates orang pintar jangan sampai termakan umpannya tapi kalau kaum termul orang bodoh bolehlah termakan umpannya jadi tumbal ,1929139798112874611,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1929139798112874611,1677883247584509952,
1928789301879517516,Sun Jun 01 11:21:45 +0000 2025,1,@V3g3L Biar takut ama tbc trus laku tuh vaksin tbc buatan bill gates dan cling cling cling,1929136278399754747,,P3gEl,in,,0,0,0,https://x.com/undefined/status/1929136278399754747,1522419900639170560,
1929124725688529147,Sun Jun 01 10:35:50 +0000 2025,7,hati2 ya guys Prabowo lg nyari banyak subjek untuk percobaan vaksin yg TBC kemarin. dia kan udh buat kesepakatan sm bill gates kalau Indonesia siap dijadikan percobaan vaksin TBC.,1929124725688529147,,,in,,0,2,0,https://x.com/undefined/status/1929124725688529147,1429991453808238637,
1929119590312751460,Sun Jun 01 10:15:26 +0000 2025,0,Covid lagi vaksinnya pake vaksin TBC bill gates ntar apa2 syaratnya sudah vaksin licik monyet pemerintah,1929119590312751460,,,in,,0,0,0,https://x.com/undefined/status/1929119590312751460,1206006507583574016,
